VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,2,1,0,0,1,1
0,2,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,0,0,2,1
5,6,1,0,7,0,1,0,8,1,6,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,8,0,0,4,6,12,6,2,0,15,1
0,2,0,1,4,0,2,1,5,0,2,0,1,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,11,4,0,1,2,1
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,3,1
0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,3,0,0,4,1
2,5,0,0,4,0,0,0,6,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,8,2,1,0,5,1
2,9,3,1,20,0,2,3,19,1,13,2,1,4,0,2,1,24,0,3,0,0,1,1,0,0,0,0,0,9,5,0,3,15,21,21,1,0,19,1
1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,0,1,1
